tweet,brand,brand_name
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,1,facebook
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,0,
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",1,adidas
Why won't you show my location?!   http://twitpic.com/2y2es,0,
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,1,amazon
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",0,
Nasty budget due and my iphone is being sent to Apple today. ,1,apple
@Sofii_Noel thatï¿½s bad ,0,
@ashman01 My only complaint about Facebook is they've changed it so much it's confusing ,1,facebook
Sliced my finger ,0,
I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages ,1,google
Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well,0,
"@TracyDowds When an Xbox shows those three red lights, it means it's dead and needs to be fixed for a month at Microsoft HQ. ",1,microsoft
"A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing.",0,
and they advertising fake louis bags as 100% authentic on google  i'm pissed!,1,google
Can't sleep  dam naps lol... and its hot,0,
YAY hannah montanas on disney channel fun ......NOT ,1,disney
all the photos i try to upload are too big ,0,
my facebook is Fucked. ,1,facebook
@KellyShibari i thought i saw you there! you were walking out the door when i saw you. ,0,
Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info,1,google
tired  i need a regular 9-5,0,
"just enabled ActiveSync on my Google Apps account, I can now sync my contacts and calendars over the net, but no mail as of yet ",1,google
in LOveeee &lt;3 and it hurts ,0,
What a bad day! Need comfort drink - sipping on a mocha frap here at Starbucks with Tricia. So tired ,1,starbucks
"What a day! So busy, my head hurts from thinking too much! Annnd tomorrow will be the same. Woe is me ",0,
is no longer on google ,1,google
@BritSystem She stopped eating and is just sleeping all day.  Im worried about my precious little bean.,0,
Amazon mp3 downloads down to 29p So much for my 10%  Cheers @jodiedoubleday http://tinyurl.com/dg5qtg,1,amazon
@LadyLDN I hope you feel better soon  Being ill is no fun at all.,0,
