tweet,brand,sentiment,brand_presence
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,facebook,0,1
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,nobrand,0,0
amazon s3 plugin not worked in my website . it need PHP 5 . but my hosting provider has only PHP 4.4  . very sad.,amazon,0,1
"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",nobrand,0,0
Nasty budget due and my iphone is being sent to Apple today. ,apple,0,1
@Sofii_Noel thatï¿½s bad ,nobrand,0,0
@ashman01 My only complaint about Facebook is they've changed it so much it's confusing ,facebook,0,1
Sliced my finger ,nobrand,0,0
I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages ,google,0,1
Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well,nobrand,0,0
"@TracyDowds When an Xbox shows those three red lights, it means it's dead and needs to be fixed for a month at Microsoft HQ. ",microsoft,0,1
"A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing.",nobrand,0,0
and they advertising fake louis bags as 100% authentic on google  i'm pissed!,google,0,1
Can't sleep  dam naps lol... and its hot,nobrand,0,0
YAY hannah montanas on disney channel fun ......NOT ,disney,0,1
all the photos i try to upload are too big ,nobrand,0,0
my facebook is Fucked. ,facebook,0,1
@KellyShibari i thought i saw you there! you were walking out the door when i saw you. ,nobrand,0,0
Ads not yet appeared  Google Adsense Team said it may delay 48 hrs on http://womenissues.info,google,0,1
tired  i need a regular 9-5,nobrand,0,0
"just enabled ActiveSync on my Google Apps account, I can now sync my contacts and calendars over the net, but no mail as of yet ",google,0,1
in LOveeee &lt;3 and it hurts ,nobrand,0,0
What a bad day! Need comfort drink - sipping on a mocha frap here at Starbucks with Tricia. So tired ,starbucks,0,1
"What a day! So busy, my head hurts from thinking too much! Annnd tomorrow will be the same. Woe is me ",nobrand,0,0
is no longer on google ,google,0,1
@BritSystem She stopped eating and is just sleeping all day.  Im worried about my precious little bean.,nobrand,0,0
